Date,Open Price,Close Price,High Price,Low Price,Volume,Rise,Diff of Close Price
8-Jun-16,2112.71,2119.12,2120.55,2112.71,1880907008,1,6.99
9-Jun-16,2115.65,2115.48,2117.64,2107.73,1890677504,-1,-3.64
10-Jun-16,2109.57,2096.07,2109.57,2089.96,2057622144,-1,-19.41
13-Jun-16,2091.75,2079.06,2098.12,2078.46,2050111872,-1,-17.01
14-Jun-16,2076.65,2075.32,2081.3,2064.1,2265561344,-1,-3.74
15-Jun-16,2077.6,2071.5,2085.65,2069.8,2118141440,-1,-3.82
16-Jun-16,2066.36,2077.99,2079.62,2050.37,2147061888,1,6.49
17-Jun-16,2078.2,2071.22,2078.2,2062.84,2919933952,-1,-6.77
20-Jun-16,2075.58,2083.25,2100.66,2075.58,2147753216,1,12.03
21-Jun-16,2085.19,2088.9,2093.66,2083.02,1964248960,1,5.65
22-Jun-16,2089.75,2085.45,2099.71,2084.36,1868203776,-1,-3.45
23-Jun-16,2092.8,2113.32,2113.32,2092.8,1938164864,1,27.87
24-Jun-16,2103.81,2037.41,2103.81,2032.57,4529728000,-1,-75.91
27-Jun-16,2031.45,2000.54,2031.45,1991.68,3367363072,-1,-36.87
28-Jun-16,2006.67,2036.09,2036.09,2006.67,2723135744,1,35.55
29-Jun-16,2042.69,2070.77,2073.13,2042.69,2590491904,1,34.68
30-Jun-16,2073.17,2098.86,2098.94,2070,2840461056,1,28.09
1-Jul-16,2099.34,2102.95,2108.71,2097.9,2109544576,1,4.09
5-Jul-16,2095.05,2088.55,2095.05,2080.86,2193466624,-1,-14.4
6-Jul-16,2084.43,2099.73,2100.72,2074.02,2337268224,1,11.18
7-Jul-16,2100.42,2097.9,2109.08,2089.39,2094560640,-1,-1.83
8-Jul-16,2106.97,2129.9,2131.71,2106.97,2194264832,1,32
11-Jul-16,2131.72,2137.16,2143.16,2131.72,1900442368,1,7.26
12-Jul-16,2139.5,2152.14,2155.4,2139.5,2307069440,1,14.98
13-Jul-16,2153.81,2152.43,2156.45,2146.21,1933244032,1,0.29
14-Jul-16,2157.88,2163.75,2168.99,2157.88,2060891008,1,11.32
15-Jul-16,2165.13,2161.74,2169.05,2155.79,1953700096,-1,-2.01
18-Jul-16,2162.04,2166.89,2168.35,2159.63,1851009664,1,5.15
19-Jul-16,2163.79,2163.78,2164.63,2159.01,1922653952,-1,-3.11
20-Jul-16,2166.1,2173.02,2175.63,2164.89,2070951040,1,9.24
21-Jul-16,2172.91,2165.17,2174.56,2159.75,2242878976,-1,-7.85
22-Jul-16,2166.47,2175.03,2175.11,2163.24,1948349824,1,9.86
25-Jul-16,2173.71,2168.48,2173.71,2161.95,1858303232,-1,-6.55
26-Jul-16,2168.97,2169.18,2173.54,2160.18,2156351488,1,0.7
27-Jul-16,2169.81,2166.58,2174.98,2159.07,2522476544,-1,-2.6
28-Jul-16,2166.05,2170.06,2172.85,2159.74,2201107968,1,3.48
29-Jul-16,2168.83,2173.6,2177.09,2163.49,2439245824,1,3.54
1-Aug-16,2173.15,2170.84,2178.29,2166.21,2110547712,-1,-2.76
2-Aug-16,2169.94,2157.03,2170.2,2147.58,2412202496,-1,-13.81
3-Aug-16,2156.81,2163.79,2163.79,2152.56,2108476416,1,6.76
4-Aug-16,2163.51,2164.25,2168.19,2159.07,2000250624,1,0.46
5-Aug-16,2168.79,2182.87,2182.87,2168.79,2243820544,1,18.62
8-Aug-16,2183.76,2180.89,2185.44,2177.85,1884569856,-1,-1.98
9-Aug-16,2182.24,2181.74,2187.66,2178.61,1724494336,1,0.85
10-Aug-16,2182.81,2175.49,2183.41,2172,1752158976,-1,-6.25
11-Aug-16,2177.97,2185.79,2188.45,2177.97,1847513984,1,10.3
12-Aug-16,2183.74,2184.05,2186.28,2179.42,1655570176,-1,-1.74
15-Aug-16,2186.08,2190.15,2193.81,2186.08,1684103040,1,6.1
16-Aug-16,2186.24,2178.15,2186.24,2178.14,1884138880,-1,-12
17-Aug-16,2177.84,2182.22,2183.08,2168.5,2068713088,1,4.07
18-Aug-16,2181.9,2187.02,2187.03,2180.46,2030062208,1,4.8
19-Aug-16,2184.24,2183.87,2185,2175.13,1917441408,-1,-3.15
22-Aug-16,2181.58,2182.64,2185.15,2175.96,1660393216,-1,-1.23
23-Aug-16,2187.81,2186.9,2193.42,2186.8,1779814272,1,4.26
24-Aug-16,2185.09,2175.44,2186.66,2171.25,1796275840,-1,-11.46
25-Aug-16,2173.29,2172.47,2179,2169.74,1841177856,-1,-2.97
26-Aug-16,2175.1,2169.04,2187.94,2160.39,1903527936,-1,-3.43
